Symbol,Total Return,Annualized Return,Volatility,Sharpe Ratio,Max Drawdown,Upside Capture,Downside Capture
AAPL,3.3564006007083194,0.2792213208216767,0.31844206694380783,0.8768355371557992,-0.3336052208070361,1.2606439984587994,1.1742763469490478
MSFT,2.913404167176796,0.2564713197007069,0.294259053766297,0.8715834446487365,-0.37148482469322874,1.20000305588896,1.127856085002885
GOOGL,3.0995120671874474,0.26627749628914255,0.3207204518930655,0.8302479455782406,-0.4432006675585362,1.2451996799845184,1.1673554802656287
SPY,1.421571258817678,0.15950133648897524,0.2067703347242343,0.7713937141984084,-0.3371727142379059,1.0,1.0
QQQ,2.239188303318239,0.2173392762106432,0.2517976600052532,0.86315050031088,-0.35118711235860944,1.2211546695611593,1.1977954706273157
VTI,1.348966659460952,0.1536101670404444,0.2117848714395135,0.725312275595266,-0.35000295349006016,1.0200178754007942,1.027553397485244
TSLA,24.994674998507517,0.7248588589834755,0.6683735861528963,1.084511527685742,-0.7363221744219121,2.187587562051466,1.7780315870340524
NVDA,36.58257172683631,0.8346091573375289,0.5299649117485509,1.5748385201273867,-0.6633508623290135,2.2089523624375853,1.824533484666514
JPM,1.8418002112016771,0.19096806034724323,0.3120238085405137,0.6120304128088597,-0.4362651073030215,1.0114146061396503,0.9598621832256928
BAC,0.9158630366287637,0.1149316293731979,0.34385393266698244,0.33424549919138924,-0.4894680269641407,1.092169214321648,1.115375671041034
VEA,0.7272574637577107,0.09576423341298068,0.19412809228872369,0.49330435530449673,-0.3526922485907298,0.7892227346727076,0.8131019503505749
VWO,0.5553226908755695,0.07670679915026724,0.20664754071394292,0.37119628370729346,-0.3431680418607194,0.7089888071092963,0.7348350451253901
JNJ,0.7879656200916205,0.10211631078135253,0.19581925893706364,0.521482469781855,-0.273662567031942,0.33851256683811,0.2768870549421252
PFE,-0.06614830019327023,-0.01138639417482179,0.270666609108051,-0.04206796771993513,-0.5896198021588133,0.4029028006838245,0.44408922970939335
KO,0.5177550018027368,0.07231059885493996,0.201570076154345,0.35873677400196413,-0.3698752907844557,0.4595290336097291,0.4459578521094843
PG,0.46617909043301053,0.06612514598332964,0.20552467272657515,0.3217382375852308,-0.23772451094991115,0.3724155349374301,0.351495259144601
PORTFOLIO,0.947459073271967,0.27118453954587785,0.15851324727439653,1.7108004801418277,-0.1979372804896543,1.020794172584245,0.9894232736860186
